"data";"uso";"ano";"mes"
"2015-05-14";9018;2015;5
"2015-05-15";7742;2015;5
"2015-05-16";3740;2015;5
"2015-05-17";4379;2015;5
"2015-05-18";8687;2015;5
"2015-05-19";8354;2015;5
"2015-05-20";8325;2015;5
"2015-05-21";8708;2015;5
"2015-05-22";7360;2015;5
"2015-05-23";3734;2015;5
"2015-05-24";4246;2015;5
"2015-05-25";9507;2015;5
"2015-05-26";8924;2015;5
"2015-05-27";8595;2015;5
"2015-05-28";7684;2015;5
"2015-05-29";29507;2015;5
"2015-05-30";3569;2015;5
"2015-05-31";3388;2015;5
"2015-06-01";7787;2015;6
"2015-06-02";8095;2015;6
"2015-06-03";7722;2015;6
"2015-06-04";4232;2015;6
"2015-06-05";6831;2015;6
"2015-06-06";3996;2015;6
"2015-06-07";4264;2015;6
"2015-06-08";11576;2015;6
"2015-06-09";10251;2015;6
"2015-06-10";9748;2015;6
"2015-06-11";8291;2015;6
"2015-06-12";6769;2015;6
"2015-06-13";4410;2015;6
"2015-06-14";4405;2015;6
"2015-06-15";8280;2015;6
"2015-06-16";8739;2015;6
"2015-06-17";8208;2015;6
"2015-06-18";7711;2015;6
"2015-06-19";6341;2015;6
"2015-06-20";3553;2015;6
"2015-06-21";3823;2015;6
"2015-06-22";8454;2015;6
"2015-06-23";8043;2015;6
"2015-06-24";7300;2015;6
"2015-06-25";7200;2015;6
"2015-06-26";24886;2015;6
"2015-06-27";4848;2015;6
"2015-06-28";5055;2015;6
"2015-06-29";9057;2015;6
"2015-06-30";6467;2015;6
"2015-07-01";52095;2015;7
